product_id,count,product_name,aisle_id,department_id
3630,0,Protein Granola Apple Crisp,57,14
3718,0,Wasabi Cheddar Spreadable Cheese,21,16
7045,0,Unpeeled Apricot Halves in Heavy Syrup,88,13
25383,0,Chocolate Go Bites,61,19
27499,0,Non-Dairy Coconut Seven Layer Bar,100,21
36233,0,Water With Electrolytes,100,21
37703,0,Ultra Sun Blossom Liquid 90 loads Fabric Enhancers,75,17
43725,0,Sweetart Jelly Beans,100,21
45971,0,12 Inch Taper Candle White,101,17
46625,0,Single Barrel Kentucky Straight Bourbon Whiskey,31,7
49540,0,Pure Squeezed  Lemonade,31,7
