consequent,antecedent,support_itemset_absolute,support_itemset_relative_pct,confidence_pct
Banana,Organic Avocado,53395,1.7460039252797301,30.28592820315026
Banana,Organic Fuji Apple,33943,1.1099281062977786,37.96161674905496
Banana,Cucumber Kirby,32097,1.0495643410376159,33.05731500077244
Banana,Honeycrisp Apple,28408,0.9289349098107795,35.68978730354159
Bag of Organic Bananas,Organic Large Extra Fancy Fuji Apple,23364,0.7639972976914621,31.15864717806465
Bag of Organic Bananas,Organic D'Anjou Pears,14905,0.48738998981729337,30.503028814669285
Bag of Organic Bananas,Organic Navel Orange,14019,0.458417998473575,32.86370669042149
Banana,Broccoli Crown,13842,0.4526301401577306,32.96342160411507
Banana,Bartlett Pears,13682,0.4473981778383232,38.735065964554664
Banana,"Clementines, Bag",12406,0.4056732783410494,31.252519145505847
Banana,Granny Smith Apples,11992,0.39213557583958286,33.322218517283545
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt,9331,0.3051215025149389,31.262773478071498
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt With Blueberry,9331,0.3051215025149389,44.992526158445436
Banana,Gala Apples,8771,0.28680963439701307,36.62365860787507
Banana,No Salt Added Black Beans,8757,0.2863518376940649,31.390472093773525
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt with Peach,8014,0.2620559126733169,40.30376181854757
Banana,Red Raspberries,7865,0.2571836477633688,30.050051579872388
Organic Strawberries,Organic Yellow Peaches,7230,0.23641929730822078,33.989939354050115
Non Fat Raspberry Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,7224,0.23622309872124303,37.54092397235358
Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Raspberry Yogurt,7224,0.23622309872124303,44.15108177484415
Sparkling Water Grapefruit,Peach Pear Flavored Sparkling Water,6727,0.21997131576658385,31.77910052910053
Bag of Organic Bananas,Organic Bosc Pear,6684,0.21856522589324312,31.2219730941704
Icelandic Style Skyr Blueberry Non-fat Yogurt,Vanilla Skyr Nonfat Yogurt,6653,0.21755153319385792,36.69608383894098
Vanilla Skyr Nonfat Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,6653,0.21755153319385792,34.573611183287426
Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% Lowfat Greek Strained Yogurt With Blueberry,6282,0.20541992056573205,30.290756545638654
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Lowfat Greek Strained Yogurt with Peach,6282,0.20541992056573205,31.593240796620396
Banana,Asparation/Broccolini/Baby Broccoli,6075,0.1986510693149988,36.81371954914556
