consequent,antecedent,support_itemset_absolute,support_itemset_relative_pct,confidence_pct,hour
Chocolate Peanut Butter,Coconut Chia Bar,23.0,0.11347937635681864,53.48837209302325,0.0
Banana,Peanut Butter Creamy With Salt,23.0,0.11347937635681864,54.761904761904766,0.0
Coconut Chia Bar,Chocolate Peanut Butter,23.0,0.11347937635681864,52.27272727272727,0.0
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt With Blueberry,24.0,0.2181818181818182,54.54545454545454,1.0
Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Acai & Mixed Berries Yogurt,15.0,0.13636363636363638,55.55555555555556,1.0
Banana,Go Lean Cereal,13.0,0.1181818181818182,59.09090909090909,1.0
Organic Whole Milk,Whole Milk Plain Yogurt,15.0,0.22492127755285649,51.724137931034484,2.0
Blueberry Muffin,Low Fat Vanilla Yogurt,15.0,0.22492127755285649,53.57142857142857,2.0
Low Fat Vanilla Yogurt,Blueberry Muffin,15.0,0.22492127755285649,83.33333333333334,2.0
Almond Milk Peach Yogurt,Almond Milk Blueberry Yogurt,13.0,0.26683087027914615,100.0,3.0
Almond Milk Blueberry Yogurt,Almond Milk Peach Yogurt,13.0,0.26683087027914615,86.66666666666667,3.0
Organic Zucchini,Organic Yellow Squash,11.0,0.22577996715927748,55.00000000000001,3.0
Lactose Free Fat Free Milk,Natural Skinless & Boneless Sardines In Water,11.0,0.22407822367080873,73.33333333333333,4.0
Organic Greek Lowfat Yogurt With Strawberries,Organic Greek Lowfat Yogurt With Blueberries,11.0,0.22407822367080873,64.70588235294117,4.0
Natural Skinless & Boneless Sardines In Water,Lactose Free Fat Free Milk,11.0,0.22407822367080873,64.70588235294117,4.0
Banana,Grape Tomatoes,19.0,0.2250651504382848,54.285714285714285,5.0
Banana,Grade A Large White Eggs,19.0,0.2250651504382848,51.35135135135135,5.0
Banana,Classic Hummus,13.0,0.15399194503672115,50.0,5.0
Icelandic Style Skyr Blueberry Non-fat Yogurt,Nonfat Icelandic Style Strawberry Yogurt,54.0,0.19804885205017236,56.84210526315789,6.0
Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Acai & Mixed Berries Yogurt,47.0,0.17237585271033523,60.256410256410255,6.0
Banana,Sweet Potato Yam,33.0,0.1210298540306609,56.896551724137936,6.0
Strawberry on the Bottom Nonfat Greek Yogurt,Blueberry on the Bottom Nonfat Greek Yogurt,92.0,0.111703354743143,53.48837209302325,7.0
Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food,70.0,0.08499168295673924,54.263565891472865,7.0
Revel Berry Yerba Mate,Enlighten Mint Organic,63.0,0.07649251466106531,64.94845360824742,7.0
Soda,Zero Calorie Cola,280.0,0.17527825422858787,52.5328330206379,8.0
Strawberry on the Bottom Nonfat Greek Yogurt,Blueberry on the Bottom Nonfat Greek Yogurt,232.0,0.1452305535036871,52.01793721973094,8.0
Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,121.0,0.07574524557735404,59.900990099009896,8.0
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt With Blueberry,1084.0,0.4702840359394184,50.02307337332718,9.0
Soda,Zero Calorie Cola,531.0,0.2303697629924642,53.420523138833,9.0
Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Acai & Mixed Berries Yogurt,415.0,0.1800441650506076,50.733496332518335,9.0
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt With Blueberry,1169.0,0.4537444591940505,50.693842150910676,10.0
Soda,Zero Calorie Cola,601.0,0.23327666379437495,53.422222222222224,10.0
Almond Milk Blueberry Yogurt,Almond Milk Strawberry Yogurt,223.0,0.08655689854599936,51.86046511627907,10.0
Soda,Zero Calorie Cola,509.0,0.20010221331131814,53.02083333333333,11.0
Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,220.0,0.08648818649998034,54.72636815920397,11.0
"Yogurt, Lowfat, Strawberry",Lowfat Blueberry Yogurt,196.0,0.0770531116090734,50.77720207253886,11.0
Soda,Zero Calorie Cola,363.0,0.14911578039312343,52.76162790697675,12.0
Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,201.0,0.08256824203586173,54.91803278688525,12.0
Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,177.0,0.07270934746441556,52.99401197604791,12.0
Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,231.0,0.09300153392140365,58.040201005025125,13.0
Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,190.0,0.07649476816046187,52.92479108635098,13.0
Almond Milk Blueberry Yogurt,Almond Milk Peach Yogurt,180.0,0.07246872773096387,50.13927576601671,13.0
Soda,Zero Calorie Cola,382.0,0.1511973085295864,56.01173020527859,14.0
Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,211.0,0.083514743716604,57.96703296703297,14.0
Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,202.0,0.07995250346328914,52.0618556701031,14.0
Soda,Zero Calorie Cola,335.0,0.13223336227993998,51.14503816793893,15.0
Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,141.0,0.0556564300939449,67.78846153846155,15.0
Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,141.0,0.0556564300939449,57.786885245901644,15.0
Soda,Zero Calorie Cola,236.0,0.09669634479622065,50.31982942430704,16.0
Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,218.0,0.08932119985413603,57.97872340425532,16.0
Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,209.0,0.0856336273830937,52.64483627204031,16.0
Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,180.0,0.0880178382818918,51.57593123209169,17.0
Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,166.0,0.08117200641552244,52.86624203821656,17.0
Coconut Chia Bar,Acai Berry Chia Bar,99.0,0.04840981105504049,50.51020408163265,17.0
Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,132.0,0.08080412345890621,55.932203389830505,18.0
Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,84.0,0.05142080583748576,59.57446808510638,18.0
Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,84.0,0.05142080583748576,53.503184713375795,18.0
Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,125.0,0.09943837207452311,60.679611650485434,19.0
Almond Milk Blueberry Yogurt,Almond Milk Strawberry Yogurt,125.0,0.09943837207452311,51.229508196721305,19.0
Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,102.0,0.08114171161281085,50.0,19.0
Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,100.0,0.10678740762889241,62.893081761006286,20.0
Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,89.0,0.09504079278971424,52.976190476190474,20.0
Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,64.0,0.06834394088249114,60.952380952380956,20.0
Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,72.0,0.10264452206144416,58.536585365853654,21.0
Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,71.0,0.10121890369947965,62.83185840707964,21.0
YoKids Squeeze! Organic Strawberry Flavor Yogurt,YoKids Squeeze Organic Blueberry Blue Yogurt,66.0,0.09409081188965714,55.46218487394958,21.0
Almond Milk Blueberry Yogurt,Almond Milk Strawberry Yogurt,79.0,0.14368077405743596,53.02013422818792,22.0
Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,79.0,0.14368077405743596,68.69565217391305,22.0
Yotoddler Organic Pear Spinach Mango Yogurt,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,73.0,0.13276831020497246,50.0,22.0
Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,43.0,0.11984726441651104,55.84415584415584,23.0
Yotoddler Organic Pear Spinach Mango Yogurt,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,39.0,0.1086986816800914,55.714285714285715,23.0
Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,35.0,0.0975500989436718,54.6875,23.0
