product_name,total,reordered,ordered_once,reordered_percent
Chocolate Sandwich Cookies,1852,1136,716,61.33909287257019
All-Seasons Salt,90,12,78,13.333333333333334
Robust Golden Unsweetened Oolong Tea,277,203,74,73.28519855595668
Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,329,147,182,44.680851063829785
Green Chile Anytime Sauce,15,9,6,60.0
Dry Nose Oil,8,3,5,37.5
Pure Coconut Water With Orange,30,12,18,40.0
Cut Russet Potatoes Steam N' Mash,165,83,82,50.303030303030305
Light Strawberry Blueberry Yogurt,156,82,74,52.56410256410257
Sparkling Orange Juice & Prickly Pear Beverage,2572,1304,1268,50.69984447900466
Peach Mango Juice,104,59,45,56.730769230769226
Chocolate Fudge Layer Cake,246,126,120,51.21951219512195
Saline Nasal Mist,9,3,6,33.33333333333333
Fresh Scent Dishwasher Cleaner,17,2,15,11.76470588235294
Overnight Diapers Size 6,4,1,3,25.0
Mint Chocolate Flavored Syrup,19,2,17,10.526315789473683
Rendered Duck Fat,18,2,16,11.11111111111111
Pizza for One Suprema  Frozen Pizza,137,82,55,59.854014598540154
Gluten Free Quinoa Three Cheese & Mushroom Blend,4,0,4,0.0
Pomegranate Cranberry & Aloe Vera Enrich Drink,6,1,5,16.666666666666664
Small & Medium Dental Dog Treats,10,2,8,20.0
Fresh Breath Oral Rinse Mild Mint,43,19,24,44.18604651162791
Organic Turkey Burgers,1068,479,589,44.850187265917604
Tri-Vi-Sol® Vitamins A-C-and D Supplement Drops for Infants,13,6,7,46.15384615384615
Salted Caramel Lean Protein & Fiber Bar,2166,1391,775,64.21975992613112
Fancy Feast Trout Feast Flaked Wet Cat Food,334,247,87,73.95209580838323
Complete Spring Water Foaming Antibacterial Hand Wash,184,77,107,41.84782608695652
Wheat Chex Cereal,706,369,337,52.266288951841354
Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn,218,81,137,37.15596330275229
"Three Cheese Ziti, Marinara with Meatballs",81,37,44,45.67901234567901
White Pearl Onions,96,16,80,16.666666666666664
Nacho Cheese White Bean Chips,543,367,176,67.58747697974218
Organic Spaghetti Style Pasta,32,14,18,43.75
Peanut Butter Cereal,6536,3928,2608,60.09791921664627
Italian Herb Porcini Mushrooms Chicken Sausage,311,104,207,33.440514469453376
Traditional Lasagna with Meat Sauce Savory Italian Recipes,129,36,93,27.906976744186046
Noodle Soup Mix With Chicken Broth,769,322,447,41.87256176853056
Ultra Antibacterial Dish Liquid,17,1,16,5.88235294117647
Daily Tangerine Citrus Flavored Beverage,9,2,7,22.22222222222222
Beef Hot Links Beef Smoked Sausage With Chile Peppers,79,45,34,56.9620253164557
Organic Sourdough Einkorn Crackers Rosemary,49,32,17,65.3061224489796
Biotin 1000 mcg,13,1,12,7.6923076923076925
Organic Clementines,221,34,187,15.384615384615385
Sparkling Raspberry Seltzer,391,227,164,58.05626598465473
European Cucumber,18413,12069,6344,65.54608157280182
Raisin Cinnamon Bagels 5 count,151,116,35,76.82119205298014
Onion Flavor Organic Roasted Seaweed Snack,333,178,155,53.453453453453456
"School Glue, Washable, No Run",10,0,10,0.0
Vegetarian Grain Meat Sausages Italian - 4 CT,2308,1326,982,57.4523396880416
Pumpkin Muffin Mix,287,109,178,37.97909407665505
Sa Extra Hold Mousse Hair Styling,7,1,6,14.285714285714285
Mirabelle Brut Rose,28,17,11,60.71428571428571
Whole Leaf Pure Aloe With Lemon Juice,151,69,82,45.6953642384106
24/7 Performance Cat Litter,1095,623,472,56.894977168949765
Lasting Color Shampoo,40,6,34,15.0
Healthy Pop Butter Popcorn,30,8,22,26.666666666666668
Flat Toothpicks,157,5,152,3.1847133757961785
Whole Wheat Tortillas,69,30,39,43.47826086956522
Medium Taqueria Style Chipotle Salsa,28,10,18,35.714285714285715
Cheesy Creations Roasted Garlic Parmesan Sauce,51,13,38,25.49019607843137
Ramen Noodles Soup Chicken Mushroom Flavor,17,4,13,23.52941176470588
Premium Deli Oven Roasted Turkey Breast,27,8,19,29.629629629629626
Banana & Sweet Potato Organic Teething Wafers,1129,535,594,47.38706820194863
Autumn Vegetable & Turkey Dinner with Lil' Bits Purees Dinner,20,8,12,40.0
Organic Red Wine & Olive Oil Dressing Organic,157,47,110,29.936305732484076
European Style Spring Mix,236,125,111,52.96610169491526
"Jelly, Blackberry",41,8,33,19.51219512195122
"Pancake Mix, Buttermilk",62,23,39,37.096774193548384
Vanilla with Almond Milk Iced Coffee,19,5,14,26.31578947368421
Sweet Cooking Rice Seasoning,155,15,140,9.67741935483871
Ultra 7 Inch Polypropylene Traditional Plates,37,8,29,21.62162162162162
Organic Honeycrisp Apples,13,2,11,15.384615384615385
Jasmine Tea Unfiltered Ginger Ale,29,8,21,27.586206896551722
Artisan Chick'n & Apple Sausage,180,66,114,36.666666666666664
"Hemp Protein, Organic",102,25,77,24.509803921568626
Spinach Basil Garlic Linguini,3,0,3,0.0
Coconut Chocolate Chip Energy Bar,298,189,109,63.42281879194631
Nutter Butter Cookie Bites Go-Pak,11,3,8,27.27272727272727
Wild Albacore Tuna No Salt Added,3585,1916,1669,53.44490934449093
French  Tarragon Wine Vinegar,4,0,4,0.0
Blakes Chicken Parmesan Dinner,43,25,18,58.139534883720934
All Natural 100% Apple Juice,35,10,25,28.57142857142857
100% Whole Wheat Pita Bread,594,292,302,49.158249158249156
Lamb Shank,124,27,97,21.774193548387096
Soppressata Piccante,4,0,4,0.0
"Camilia, Single Liquid Doses",130,64,66,49.23076923076923
Classics Earl Grey Tea,747,274,473,36.68005354752343
Probiotics High Potency Capsules,18,6,12,33.33333333333333
Yogurt Fruit Dip Sliced Apples,34,10,24,29.411764705882355
Smorz Cereal,47,24,23,51.06382978723404
Kind Prenatal Once Daily,5,2,3,40.0
Meat In The Middle Large Rawhide Chews,5,0,5,0.0
Uncured Cracked Pepper Beef,1843,1163,680,63.10363537710255
Organic Blueberry Blitz Fruit & Veggie Smoothie Mashups,879,601,278,68.3731513083049
Organic Rice Vinegar,2787,412,2375,14.782920703265159
Sprinklez Confetti Fun Organic Toppings,198,20,178,10.1010101010101
Organic Chamomile Lemon Tea,168,46,122,27.380952380952383
2% Yellow American Cheese,39,19,20,48.717948717948715
Local Living Butter Lettuce,646,375,271,58.04953560371517
Peanut Butter & Strawberry Jam Sandwich,437,245,192,56.06407322654462
"Bread, Healthy Whole Grain",177,118,59,66.66666666666666
Danish Butter Cookies,185,35,150,18.91891891891892
Sprouted Kale Cracker,8,3,5,37.5
High Fiber Tomato Basil Soup,100,35,65,35.0
"Easy Grab 9\""x13\"" Oblong Glass Bakeware",18,0,18,0.0
Organic Yummy Tummy Maple & Brown Sugar Instant Oatmeal,498,281,217,56.42570281124498
Mild Salsa Divino,60,33,27,55.00000000000001
Organic Sprouted Barley Bread,145,93,52,64.13793103448275
Grape Leaf Hummus Wrap,51,29,22,56.86274509803921
Uncured Turkey Bologna,14,5,9,35.714285714285715
"Fabric Softener, Geranium Scent",93,32,61,34.40860215053764
Hot Tomatillo Salsa,63,13,50,20.634920634920633
Infant's Blend Probiotic,106,33,73,31.132075471698112
Light Savory Beef Barley Vegetable Soup,35,4,31,11.428571428571429
Scooby-Doo! Fruit Flavored Snacks,388,227,161,58.50515463917526
English Muffins,4359,3033,1326,69.58017894012389
Petit Suisse Fruit,3636,3007,629,82.7007700770077
Ground Turkey Chub,216,104,112,48.148148148148145
Chardonnay Paso Robles,30,9,21,30.0
Cauliflower Florettes,14,2,12,14.285714285714285
Sharp Cheddar,1202,577,625,48.00332778702163
Pomegranate Molasses,162,9,153,5.555555555555555
Sherry Reserve Vinegar,846,56,790,6.619385342789598
Sun Cups Dark Chocolate,166,108,58,65.06024096385542
Herbal Armor DEET-Free Natural Insect Repellant,28,1,27,3.571428571428571
Hot & Spicy Chicken Flavor Ramen Noodles,223,116,107,52.01793721973094
Marscapone,449,150,299,33.4075723830735
Organic Wild Blueberries,1108,603,505,54.42238267148014
Traditional Chicken & Orzo with Lemon Soup,273,131,142,47.985347985347985
Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,3864,2396,1468,62.00828157349897
Brioche Bachelor Loaf,126,82,44,65.07936507936508
Yogurt Strawberry Pomegranate,100,60,40,60.0
Purifying Daily Detox Scrub,17,0,17,0.0
Stain Release Boost In-Wash Stain Remover Pacs,37,3,34,8.108108108108109
Dark Chocolate Ice Cream Topping,6,1,5,16.666666666666664
Simple,42,22,20,52.38095238095239
Very Vanilla Soymilk,308,191,117,62.01298701298701
Olli Napoli Salami,294,108,186,36.734693877551024
"Zita Cut, No. 118",24,8,16,33.33333333333333
Chips Onion Chipotle Garlic,22,2,20,9.090909090909092
Restaurant Style Organic Chia & Quinoa Tortilla Chips,3639,2349,1290,64.55070074196207
Arugula Salad,22,7,15,31.818181818181817
Organic Lemons,23,4,19,17.391304347826086
Coarse Grind Garlic Powder & Parsley Blend,39,8,31,20.51282051282051
Traditional Water Crackers,74,25,49,33.78378378378378
Anti Diarrheal Caplets,101,50,51,49.504950495049506
Organic Ranch Veggie Dip,14,2,12,14.285714285714285
